"first_name","last_name","sex","designation","age","salary","unit","leaves_used","leaves_remaining","ratings","past_exp","curr_date"
"INES","ARB","F","Analyst",21,42943,"Finance",17,13,4,0,"2016-07-01"
"JESSE","ABDULKARIM","M","Analyst",23,48751,"Operations",24,6,3,0,"2016-07-01"
"CLAY","AERTS","M","Analyst",22,42136,"Finance",23,7,4,0,"2016-07-01"
"MERCEDES","ANASTASI","F","Analyst",21,42472,"Web",27,3,5,0,"2016-07-01"
"BRANDON","ABBY","M","Analyst",22,46677,"IT",26,4,4,0,"2016-07-01"
"BILL","ABOSHIHATA","M","Analyst",25,45977,"Web",28,2,5,3,"2016-07-01"
"ALFREDO","ACHZIGER","M","Analyst",25,41345,"Web",18,12,5,3,"2016-07-01"
"NICOLE","ALSOBROOK","F","Director",41,323196,"Marketing",23,7,3,10,"2016-07-01"
"GOLDIE","ANERTON","F","Analyst",22,42727,"Marketing",19,11,2,0,"2016-07-01"
"ELIAS","ADSIT","M","Senior Analyst",25,53218,"Marketing",18,12,5,0,"2016-07-01"
"SUN","ARDIZZONE","F","Analyst",21,48422,"IT",21,9,3,0,"2016-07-01"
"BOOKER","AKRIGHT","M","Associate",32,83066,"IT",23,7,4,6,"2016-07-01"
"LEEANN","ARCHILA","F","Analyst",21,41627,"Operations",29,1,2,0,"2016-07-01"
"DEREK","ABOULISSAN","M","Director",42,388112,"Marketing",27,3,2,18,"2016-07-01"
"DAWN","ALTIER","F","Analyst",23,44469,"Web",25,5,3,0,"2016-07-01"
"SHELTON","AKUCHIE","M","Analyst",24,41109,"Marketing",23,7,3,2,"2016-07-01"
"LEOPOLDO","ALBORN","M","Analyst",23,43924,"Operations",27,3,4,1,"2016-07-01"
"DARREN","ACERO","M","Senior Analyst",25,64232,"Operations",23,7,4,2,"2016-07-01"
"ARMANDO","ACHENBACH","M","Analyst",22,49644,"Operations",19,11,2,0,"2016-07-01"
"DELPHINE","AREVALO","F","Director",43,284733,"Web",15,15,2,11,"2016-07-01"
"IDA","ALVIRA","F","Analyst",22,48802,"Operations",20,10,4,0,"2016-07-01"
"ALECIA","ARIANO","F","Analyst",21,41748,"IT",21,9,4,0,"2016-07-01"
"JUAN","ABBASSI","M","Senior Analyst",27,61575,"Finance",20,10,2,1,"2016-07-01"
"YOLANDA","ALWAN","F","Analyst",24,46062,"Marketing",25,5,3,1,"2016-07-01"
"EMMA","ALTSISI","F","Analyst",25,40251,"Finance",18,12,2,1,"2016-07-01"
"OCTAVIO","ALAMEIDA","M","Analyst",21,42416,"Management",16,14,2,0,"2016-07-01"
"LEILA","ANNUNZIATA","F","Analyst",22,43951,"Finance",18,12,5,0,"2016-07-01"
"CECIL","ABUD","M","Analyst",25,47903,"Finance",19,11,2,2,"2016-07-01"
"CHARLES","ARMSTER","F","Analyst",22,45275,"Operations",27,3,3,0,"2016-07-01"
"FELIX","ACHESON","M","Senior Analyst",26,61046,"Finance",28,2,5,1,"2016-07-01"
"JAQUELINE","AREHART","F","Analyst",25,48204,"Web",15,15,4,2,"2016-07-01"
"GALE","ANNARUMO","F","Senior Analyst",27,51053,"Operations",23,7,3,1,"2016-07-01"
"FRANCIS","ABERSON","M","Analyst",22,42560,"Operations",16,14,2,0,"2016-07-01"
"TAMMI","APADACA","F","Analyst",25,40947,"Marketing",20,10,2,3,"2016-07-01"
"LOUELLA","ARBRY","F","Senior Analyst",28,68432,"IT",30,0,2,0,"2016-07-01"
"JOYCE","ALQUIJAY","F","Analyst",24,44561,"Management",24,6,4,1,"2016-07-01"
"MARGUERITE","AMICK","F","Senior Analyst",26,63882,"Operations",27,3,2,1,"2016-07-01"
"KENTON","ALEXANDRA","M","Analyst",23,45903,"Finance",21,9,2,0,"2016-07-01"
"CODY","ACEUEDO","M","Analyst",23,48470,"Web",28,2,3,0,"2016-07-01"
"FRANKIE","ANETSBERGER","F","Analyst",23,45704,"Finance",24,6,4,0,"2016-07-01"
"MILLICENT","ARAMBOLES","F","Senior Analyst",25,57064,"Management",18,12,5,0,"2016-07-01"
"DEE","ALEVEDO","M","Analyst",22,48546,"IT",15,15,2,0,"2016-07-01"
"ZELMA","ANTONELLI","F","Senior Analyst",28,50044,"Operations",25,5,3,5,"2016-07-01"
"PEARL","AMARA","F","Analyst",21,41604,"Marketing",16,14,2,0,"2016-07-01"
"CARIDAD","ARMWOOD","F","Analyst",23,45022,"Finance",23,7,3,0,"2016-07-01"
"ELDON","AGOFF","M","Manager",33,107432,"Web",24,6,4,8,"2016-07-01"
"SHANDA","ARJONA","F","Analyst",24,45499,"IT",26,4,4,0,"2016-07-01"
"HEATH","AGNES","M","Analyst",22,47846,"Marketing",26,4,2,0,"2016-07-01"
"ROCIO","ARCURI","F","Senior Analyst",28,67299,"Operations",29,1,3,1,"2016-07-01"
"MARJORIE","ALTRECHE","F","Analyst",24,48047,"Web",21,9,2,2,"2016-07-01"
"CYRUS","ALANIS","M","Senior Manager",36,186356,"Finance",20,10,3,8,"2016-07-01"
"ISABELL","ARKINS","F","Analyst",22,48539,"Operations",26,4,5,0,"2016-07-01"
"ROBBIE","ANGUS","F","Analyst",22,45146,"Marketing",18,12,2,0,"2016-07-01"
"TIFFANY","ALTIZER","F","Senior Analyst",25,67321,"IT",26,4,3,0,"2016-07-01"
"JODIE","ANIELLO","F","Analyst",24,43137,"IT",27,3,2,2,"2016-07-01"
"MARCY","ANNICCHIARICO","F","Analyst",24,46974,"Web",30,0,4,0,"2016-07-01"
"WILHELMINA","AREND","F","Analyst",25,48602,"Marketing",30,0,2,1,"2016-07-01"
"NORA","AMBROZIAK","F","Analyst",22,43036,"Web",25,5,4,0,"2016-07-01"
"JAIME","ACHTERHOF","M","Analyst",23,49318,"Finance",17,13,3,0,"2016-07-01"
"CHRISTA","ANENE","F","Analyst",23,48356,"Web",19,11,2,0,"2016-07-01"
"BRADLEY","ABES","M","Analyst",25,49894,"Operations",22,8,3,1,"2016-07-01"
"LUCILE","ANNA","F","Analyst",24,42344,"Marketing",17,13,4,2,"2016-07-01"
"LYNDON","ALFREDS","M","Analyst",24,43343,"Web",27,3,4,0,"2016-07-01"
"DARA","ARIEL","F","Analyst",22,47750,"Operations",27,3,4,0,"2016-07-01"
"KENT","ACKMANN","M","Analyst",22,42440,"Marketing",19,11,3,0,"2016-07-01"
"ANTIONETTE","ARCHEY","F","Analyst",25,45236,"Web",16,14,2,3,"2016-07-01"
"OTIS","ACTON","M","Analyst",24,41514,"Operations",27,3,4,0,"2016-07-01"
"CHANCE","ALBERICO","M","Analyst",23,45084,"IT",24,6,4,1,"2016-07-01"
"CONNIE","ALTIERI","F","Analyst",24,41676,"Marketing",29,1,3,1,"2016-07-01"
"ANGELIA","ANHORN","F","Analyst",23,46127,"Marketing",28,2,5,0,"2016-07-01"
"SHIRLEY","ALDRIDGE","M","Associate",29,99416,"Management",20,10,5,4,"2016-07-01"
"TESSIE","ARGULEWICZ","F","Analyst",25,47899,"Operations",15,15,3,1,"2016-07-01"
"DARCY","ANTONUCCI","F","Analyst",23,45927,"Finance",15,15,3,0,"2016-07-01"
"CARMINE","ALARIE","M","Analyst",23,48891,"Management",22,8,2,1,"2016-07-01"
"SANFORD","AITA","M","Analyst",22,41284,"Finance",19,11,5,0,"2016-07-01"
"MICHEAL","ABLEMAN","M","Director",43,313649,"IT",21,9,2,17,"2016-07-01"
"ROLLAND","ALEXANDERS","M","Analyst",22,49111,"Marketing",22,8,2,0,"2016-07-01"
"KRIS","AHNELL","M","Senior Analyst",25,51509,"Marketing",23,7,3,0,"2016-07-01"
"CHET","ALGER","M","Analyst",21,49393,"IT",16,14,3,0,"2016-07-01"
"TYRELL","ALFREDO","M","Analyst",21,46580,"Web",27,3,4,0,"2016-07-01"
"ANGELICA","AMSBAUGH","F","Analyst",25,44538,"Finance",16,14,4,2,"2016-07-01"
"MARIE","ALPHONSO","F","Analyst",21,46507,"Finance",22,8,2,0,"2016-07-01"
"NOLA","ANSELMI","F","Analyst",24,47308,"Web",26,4,5,1,"2016-07-01"
"JED","ALEQUIN","M","Analyst",22,45952,"Management",25,5,5,0,"2016-07-01"
"BOBBIE","AIDT","M","Senior Analyst",25,68505,"Operations",15,15,3,1,"2016-07-01"
"EMILY","ALTHISER","F","Senior Analyst",26,65316,"Marketing",21,9,5,0,"2016-07-01"
"GENARO","ALAM","M","Analyst",23,47401,"Marketing",17,13,5,1,"2016-07-01"
"LUANN","APERGES","F","Manager",35,129017,"Operations",25,5,3,11,"2016-07-01"
"ELISA","ANDONIAN","F","Analyst",23,46347,"Finance",28,2,4,1,"2016-07-01"
"DAN","ABRAMOVITZ","M","Analyst",25,47573,"Web",25,5,4,2,"2016-07-01"
"WILFRED","ADOLPHSEN","M","Associate",32,97708,"IT",29,1,2,5,"2016-07-01"
"LEONEL","AKERSON","M","Analyst",21,46002,"Finance",21,9,5,0,"2016-07-01"
"CLAIRE","AMERMAN","F","Analyst",25,47201,"IT",27,3,5,1,"2016-07-01"
"ROGELIO","ADRIEN","M","Analyst",21,46733,"Web",15,15,2,0,"2016-07-01"
"SHARLENE","ARBUTHNOT","F","Senior Manager",39,191793,"IT",20,10,3,17,"2016-07-01"
"BOBBIE","AIDT","M","Senior Analyst",25,68505,"Operations",15,15,3,1,"2016-07-01"
"HOYT","ALKEN","M","Analyst",22,41035,"Management",19,11,4,0,"2016-07-01"
"ALVINA","ARISA","F","Manager",34,126871,"Management",16,14,4,7,"2016-07-01"
"JULIET","ARABIE","F","Senior Analyst",27,51532,"Marketing",25,5,5,0,"2016-07-01"
"ADELE","ANDRESEN","F","Analyst",24,43339,"Finance",28,2,5,1,"2016-07-01"
"STANFORD","ALEYANDREZ","M","Analyst",22,44506,"IT",30,0,4,0,"2016-07-01"
"KIETH","ALCOMBRIGHT","M","Analyst",23,40045,"Management",25,5,2,0,"2016-07-01"
"TOD","ALEGAR","M","Analyst",24,48938,"Finance",19,11,2,0,"2016-07-01"
"KIRBY","AKAHI","M","Analyst",23,48185,"IT",19,11,4,0,"2016-07-01"
"MAE","AMENTLER","F","Analyst",25,47579,"Marketing",25,5,3,2,"2016-07-01"
"DOMINIQUE","ANKER","F","Director",41,375647,"Finance",20,10,5,14,"2016-07-01"
"SHARON","ALOAN","F","Analyst",24,47386,"Management",23,7,2,0,"2016-07-01"
"DEVIN","ADERHOLT","M","Analyst",24,43952,"Finance",23,7,4,1,"2016-07-01"
"JULIETTE","APPLEMAN","F","Analyst",24,48981,"Finance",26,4,4,0,"2016-07-01"
"SALLY","ALVERAZ","F","Analyst",25,40702,"Marketing",30,0,4,1,"2016-07-01"
"NELLIE","AMAUTY","F","Director",43,235565,"Web",20,10,4,17,"2016-07-01"
"BENNIE","ARDRY","F","Analyst",22,41641,"Web",28,2,4,0,"2016-07-01"
"BRETT","ABSHER","M","Analyst",21,44350,"Finance",25,5,4,0,"2016-07-01"
"GUSSIE","ARCORACI","F","Analyst",23,48887,"Operations",26,4,4,0,"2016-07-01"
"DWIGHT","ACHEKIAN","M","Analyst",24,47499,"Web",24,6,2,0,"2016-07-01"
"MICHELLE","ALOE","F","Analyst",25,42128,"Finance",18,12,5,1,"2016-07-01"
"STEVIE","ALANO","M","Analyst",24,48271,"Finance",29,1,3,0,"2016-07-01"
"MISSY","ARMISTEAD","F","Analyst",23,41029,"Management",19,11,4,0,"2016-07-01"
"MIRNA","ARMENTROUT","F","Analyst",25,43659,"Web",15,15,5,3,"2016-07-01"
"ANGELO","ADAMCIK","M","Manager",33,140867,"IT",27,3,4,7,"2016-07-01"
"JUDI","ARCHDALE","F","Analyst",24,49806,"IT",22,8,5,1,"2016-07-01"
"JODI","AMISTADI","F","Analyst",24,49110,"IT",25,5,2,1,"2016-07-01"
"EDGARDO","ALDO","M","Analyst",23,42081,"Management",23,7,4,0,"2016-07-01"
"CHRISTINA","ALSON","F","Analyst",21,41017,"IT",27,3,5,0,"2016-07-01"
"JESSIE","AMALFITANO","F","Analyst",24,48869,"IT",26,4,5,0,"2016-07-01"
"NOAH","ADZHABAKYAN","M","Senior Analyst",28,66965,"Web",16,14,3,5,"2016-07-01"
"JAMAL","AGUELE","M","Analyst",24,42338,"Management",22,8,4,0,"2016-07-01"
"MARY","AIROLA","M","Analyst",22,49380,"Management",25,5,4,0,"2016-07-01"
"SUZETTE","APADOCA","F","Manager",33,117354,"Management",26,4,3,6,"2016-07-01"
"CASANDRA","ARAGONI","F","Analyst",25,41679,"Web",20,10,2,2,"2016-07-01"
"HARLAND","ALLSOP","M","Analyst",22,44207,"Finance",28,2,4,0,"2016-07-01"
"EVELYN","ALSBERRY","F","Analyst",22,45059,"Management",29,1,2,0,"2016-07-01"
"PAULA","ALTEW","F","Associate",29,95056,"Operations",15,15,3,0,"2016-07-01"
"DAVIS","AINGE","M","Analyst",22,48777,"Management",29,1,3,0,"2016-07-01"
"DOLLIE","ANZIDEO","F","Senior Analyst",28,56728,"IT",16,14,4,4,"2016-07-01"
"KERRIE","ARMER","F","Senior Analyst",28,53113,"Finance",20,10,3,1,"2016-07-01"
"LELIA","ARAGONES","F","Analyst",21,45039,"Management",19,11,4,0,"2016-07-01"
